joylashuv;xonalar;maydon;qavat;bino_qavati;narx
Shayhontohur;4;93;4;4;63500
Shayhontohur;2;60;9;9;49500
Chilonzor;5;82;4;4;70000
Uchtepa;5;120;9;9;52000
Uchtepa;4;110;3;3;91000
Chilonzor;4;95;2;4;83000
Uchtepa;2;56;1;4;40500
Chilonzor;3;68;3;4;48000
Olmzor;2;57;3;4;42000
Yashnobod;1;46;11;11;19765
Chilonzor;2;45;4;4;34500
Yunusobod;2;40;1;9;40000
Mirzo Ulugbek;3;95;5;5;50000
Yunusobod;2;53;1;9;68000
Olmzor;2;72;4;9;41500
Mirzo Ulugbek;3;65;4;5;41500
Yunusobod;4;82;1;4;86000
Chilonzor;1;42;3;9;25500
Chilonzor;2;54;4;4;31500
Chilonzor;1;42;1;4;26500
Uchtepa;1;20;3;9;14500
Chilonzor;2;45;4;4;45000
Chilonzor;1;46;2;5;30000
Chilonzor;2;50;2;4;34500
Chilonzor;1;36;2;4;27000
Uchtepa;4;80;6;9;59500
Uchtepa;3;72;3;9;48000
Uchtepa;4;78;5;5;47299
Chilonzor;2;46;4;5;37000
Chilonzor;2;60;2;4;38000
Olmzor;2;58;5;9;29500
Chilonzor;2;70;2;7;56000
Yakkasaroy;2;68;6;9;45000
Uchtepa;4;100;3;5;61500
Chilonzor;3;68;5;5;46500
Uchtepa;3;70;4;12;51000
Chilonzor;3;90;5;9;58400
Chilonzor;3;60;5;5;47000
Uchtepa;4;80;5;5;52500
Uchtepa;3;74;3;5;50000
Chilonzor;2;48;2;5;41500
Chilonzor;4;94;9;9;45000
Uchtepa;3;65;4;9;47500
Chilonzor;4;85;3;4;52500
Uchtepa;1;42;5;5;26000
Chilonzor;4;110;3;4;105000
Uchtepa;3;70;4;4;42000
Chilonzor;3;68;2;5;53500
Yakkasaroy;2;48;5;9;23000
Yashnobod;1;20;3;3;12500
Mirobod;3;110;4;7;107000
Chilonzor;2;46;3;4;35000
Chilonzor;4;125;5;5;70000
Mirzo Ulugbek;2;72;18;19;55000
Mirzo Ulugbek;2;64,67;7;9;39414
Yunusobod;2;70;4;9;60000
Yunusobod;1;50;7;9;37000
Mirzo Ulugbek;2;51;2;4;49000
Mirzo Ulugbek;1;22;1;2;18000
Chilonzor;2;54;1;4;42500
Chilonzor;1;30;3;5;34500
Chilonzor;1;42;5;9;37000
Yakkasaroy;3;70;2;4;70000
Shayhontohur;3;68;2;4;45800
Chilonzor;1;30;4;4;24000
Uchtepa;1;52;1;4;58000
Chilonzor;4;72;4;4;55500
Chilonzor;4;76;2;4;68000
Uchtepa;2;48;4;4;31000
Chilonzor;2;66;3;9;47000
Chilonzor;3;60;3;5;47000
Chilonzor;2;37;1;4;41000
Mirzo Ulugbek;1;40;3;4;24000
Yunusobod;2;61;1;4;55000
Chilonzor;1;32;2;4;28500
Chilonzor;3;65;4;4;42000
Uchtepa;3;66;2;5;67000
Chilonzor;3;70;4;4;46500
Chilonzor;3;66;4;4;50500
Uchtepa;3;65;1;4;40000
Yashnobod;1;37;5;8;13071
Mirzo Ulugbek;2;69,65;4;9;45188
Uchtepa;4;88;4;5;53000
Yakkasaroy;1;38;2;5;25600
Mirobod;2;61;6;9;52000
Mirzo Ulugbek;2;45;3;7;44000
Sergeli;3;69;2;9;40000
Mirzo Ulugbek;2;55,13;5;9;35226
Chilonzor;3;67;4;4;54000
Shayhontohur;1;38;5;5;22500
Mirzo Ulugbek;2;67;2;4;36500
Yakkasaroy;2;54;4;9;40000
Chilonzor;2;58;1;9;35000
Mirobod;4;100;5;8;142000
Chilonzor;4;90;4;5;52000
Olmzor;3;91;3;3;85000
Shayhontohur;4;111;7;8;110000
Sergeli;2;54;6;7;36000
Yashnobod;3;69;5;5;52000
Yunusobod;5;107;5;5;50000
Mirzo Ulugbek;3;80;2;5;55000
Yunusobod;2;63;5;9;42000
Mirobod;3;74;5;16;69000
Yashnobod;2;58;5;5;28900
Mirzo Ulugbek;2;62;9;9;34000
Mirzo Ulugbek;3;107;2;8;85000
Olmzor;1;40,41;2;4;25000
Chilonzor;2;54;2;4;39000
Mirzo Ulugbek;1;40;1;4;60000
Mirzo Ulugbek;2;50;1;5;36500
Yashnobod;3;75;5;9;42000
Mirzo Ulugbek;3;84;7;8;85000
Mirzo Ulugbek;3;117;2;5;125000
Mirzo Ulugbek;3;70;5;5;37000
Mirzo Ulugbek;1;47;2;9;42000
Chilonzor;2;56;2;5;36000
Chilonzor;1;42;3;9;28000
Chilonzor;2;60;5;9;34000
Chilonzor;1;32;2;5;28500
Chilonzor;1;42;2;5;28500
Chilonzor;2;60;2;9;34500
Chilonzor;2;54;1;4;34500
Chilonzor;1;42;1;5;25500
Chilonzor;2;60;2;9;43500
Mirobod;2;72;7;9;63000
Yashnobod;3;80;1;4;39999
Chilonzor;1;33;2;4;24500
Yunusobod;2;61;3;5;41000
Mirzo Ulugbek;4;187;2;5;210000
Mirzo Ulugbek;2;63;5;5;36000
Olmzor;2;60;5;5;34000
Chilonzor;1;29;2;4;23000
Mirzo Ulugbek;2;63;5;5;36000
Uchtepa;2;48;4;5;28500
Chilonzor;2;45;4;4;47000
Olmzor;4;122;5;5;95000
Yunusobod;1;42;2;4;44000
Mirzo Ulugbek;2;50;1;4;45000
Mirzo Ulugbek;5;100;4;4;48000
Mirzo Ulugbek;2;60;4;4;32000
Yakkasaroy;2;50;2;4;47000
Mirzo Ulugbek;3;78;5;9;70500
Yakkasaroy;4;164;5;6;170000
Mirzo Ulugbek;2;60;3;5;30500
Chilonzor;1;42;2;4;26000
Chilonzor;3;70;4;4;37500
Chilonzor;1;35;1;5;26500
Chilonzor;2;47;2;4;32000
Chilonzor;1;36;2;5;26500
Chilonzor;2;50;2;5;34500
Chilonzor;2;52;2;4;36500
Yashnobod;2;46;2;4;24500
Chilonzor;3;92;3;9;42500
Chilonzor;3;70;1;4;46000
Yunusobod;3;70;2;4;38500
Mirzo Ulugbek;2;60;7;8;36000
Mirzo Ulugbek;2;55;3;5;35000
Mirzo Ulugbek;2;63;4;9;55500
Yakkasaroy;2;89;4;12;81772
Yakkasaroy;1;55;1;12;50533
Mirzo Ulugbek;3;100;2;6;119000
Mirzo Ulugbek;4;208;2;3;93000
Chilonzor;1;35;1;4;23800
Chilonzor;2;44;3;4;32900
Yangihayot;2;61;3;7;36000
Yashnobod;4;100;2;9;65000
Chilonzor;1;35;1;4;29800
Mirzo Ulugbek;4;86;3;5;63000
Mirzo Ulugbek;3;100;1;5;80000
Olmzor;5;110;5;5;63500
Mirobod;3;75;6;9;110000
Olmzor;3;70;1;5;62000
Shayhontohur;3;70;4;5;36999
Yakkasaroy;3;150;3;6;170000
Sergeli;2;56,1;7;7;37000
Yunusobod;4;83;3;5;54000
Uchtepa;2;49;4;4;23000
Chilonzor;2;46;2;4;38500
Chilonzor;2;46;4;4;36200
Chilonzor;3;68;4;4;45000
Chilonzor;3;65;1;5;45000
Chilonzor;4;76;4;4;43000
Chilonzor;1;42;2;5;26000
Chilonzor;2;55;1;4;67000
Chilonzor;4;76;5;5;45500
Chilonzor;2;49;2;6;47000
Chilonzor;4;80;2;4;70000
Chilonzor;5;142;5;5;120000
Chilonzor;3;60;3;4;44000
Mirzo Ulugbek;3;72;4;5;47000
Mirobod;4;115;6;9;84000
Yashnobod;4;100;2;3;77000
Mirzo Ulugbek;2;63;5;5;35000
Mirzo Ulugbek;3;66;3;5;56000
Mirzo Ulugbek;3;70;5;5;46500
Mirzo Ulugbek;3;62;5;5;35000
Chilonzor;2;50;1;4;34000
Yunusobod;3;78;4;4;56000
Mirobod;2;62;2;9;63000
Mirobod;8;350;2;12;260000
Yashnobod;3;63;4;4;40000
Mirzo Ulugbek;4;91;1;5;75000
Shayhontohur;3;81;6;9;54900
Mirzo Ulugbek;4;86;3;4;42000
Mirzo Ulugbek;2;54;3;5;54500
Mirobod;3;90;3;5;105000
Mirzo Ulugbek;2;40;2;5;37000
Yunusobod;1;45;5;5;24000
Olmzor;3;89,55;7;9;40000
Mirzo Ulugbek;4;92;3;5;67000
Mirzo Ulugbek;4;95;1;4;77000
Mirzo Ulugbek;4;102;4;9;65000
Olmzor;2;65;5;9;31300
Mirzo Ulugbek;2;62;5;5;33500
Olmzor;2;56;3;5;38500
Mirzo Ulugbek;2;59;2;8;41500
Chilonzor;3;96;6;9;64500
Yashnobod;1;37;4;8;13075
Yakkasaroy;2;70;8;9;48000
Mirobod;2;78;4;8;77000
Yakkasaroy;4;145;7;8;115000
Mirzo Ulugbek;3;100;2;5;128000
Yashnobod;2;54;4;4;33000
Mirobod;3;70;2;4;66000
Yakkasaroy;5;116;3;5;80000
Chilonzor;3;72;8;9;37700
Shayhontohur;1;70;6;7;60000
Mirzo Ulugbek;2;60;9;9;28500
Chilonzor;2;52;4;5;38000
Yakkasaroy;3;95;7;8;65000
Chilonzor;2;44;1;4;38000
Chilonzor;2;42;3;4;36500
Chilonzor;2;43;2;4;36500
Chilonzor;3;77;5;5;95000
Chilonzor;1;24;3;4;20000
Chilonzor;1;30;1;4;26000
Chilonzor;2;41;1;4;36000
Yunusobod;2;46;2;4;36000
Chilonzor;2;42;2;4;36500
Yunusobod;2;51;3;4;45000
Uchtepa;3;62;5;5;33500
Yashnobod;1;50;5;12;25000
Yunusobod;4;107;6;9;75500
Yunusobod;5;255;1;8;270000
Yunusobod;6;266;1;8;285000
Olmzor;1;38;6;9;27500
Yakkasaroy;4;210;4;8;265000
Yakkasaroy;4;110;7;9;75000
Olmzor;2;55,62;5;9;31000
Sergeli;2;66;8;9;31507
Yakkasaroy;2;53;3;5;54000
Olmzor;4;119;2;5;110000
Mirzo Ulugbek;2;56;1;4;35000
Mirzo Ulugbek;3;68;4;4;24000
Mirobod;3;125;7;12;129999
Yakkasaroy;4;140;8;10;105000
Yakkasaroy;4;141;7;7;95000
Uchtepa;4;74;4;4;47500
Mirzo Ulugbek;2;63;5;5;34997
Uchtepa;2;41;4;4;32000
Mirobod;2;52;3;5;37000
Chilonzor;3;68;3;4;39000
Mirobod;4;110;1;4;63500
Mirzo Ulugbek;2;60;6;9;35500
Chilonzor;1;54;9;9;35000
Mirzo Ulugbek;2;60;5;5;35000
Chilonzor;2;46;3;4;37500
Chilonzor;4;94;4;5;73000
Chilonzor;2;58;1;9;40000
Mirzo Ulugbek;4;92;3;5;62000
Chilonzor;3;70;3;4;55000
Chilonzor;2;42;4;4;37400
Chilonzor;2;42;4;4;35800
Chilonzor;2;75;4;12;60000
Yunusobod;3;72;1;9;100000
Uchtepa;3;85;7;9;52500
Yunusobod;2;65;5;9;44000
Chilonzor;2;65;9;9;56600
Chilonzor;2;46;3;4;42000
Mirzo Ulugbek;2;60,94;9;9;36542
Mirobod;4;165;1;8;264999
Mirobod;4;215;5;8;259999
Yashnobod;2;59;4;4;26500
Mirzo Ulugbek;2;66,82;5;7;65000
Chilonzor;5;98;5;9;70000
Mirzo Ulugbek;2;48;1;4;34499
Uchtepa;3;92;8;9;46000
Mirobod;4;128;1;7;87000
Mirobod;2;56;2;5;37500
Yashnobod;1;45;1;5;36500
Chilonzor;3;70;2;4;48000
Uchtepa;2;56;2;5;37500
Mirzo Ulugbek;4;95;1;5;78000
Mirobod;2;100;8;9;150000
Mirzo Ulugbek;4;97;5;5;80000
Mirzo Ulugbek;4;130;4;9;98500
Yunusobod;3;67;4;4;42000
Mirzo Ulugbek;4;95;5;5;50000
Yunusobod;2;62;4;9;55000
Yakkasaroy;3;75;10;16;70000
Yakkasaroy;3;70;6;6;81999
Yashnobod;2;59;2;7;22534
Yunusobod;2;55;1;9;43000
Yunusobod;2;59;5;5;37000
Chilonzor;2;44;4;4;29500
Shayhontohur;2;30;3;3;38500
Yakkasaroy;2;56;2;5;38000
Uchtepa;3;60;4;4;40000
Mirobod;2;70;3;4;83000
Mirzo Ulugbek;2;64;4;5;34500
Chilonzor;3;100;1;12;57000
Chilonzor;3;68;2;4;50000
Yunusobod;4;115;3;9;64000
Mirzo Ulugbek;2;60;4;4;34000
Mirzo Ulugbek;5;100;4;4;48000
Mirzo Ulugbek;2;50;2;4;32500
Mirobod;3;105;7;9;125000
Mirzo Ulugbek;2;70;4;7;87000
Mirzo Ulugbek;5;137;3;7;105000
Yashnobod;1;36;4;9;26000
Yakkasaroy;2;52;1;3;55000
Yangihayot;2;47,14;4;4;28000
Chilonzor;3;65;1;5;45000
Mirzo Ulugbek;4;130;6;9;115000
Mirzo Ulugbek;4;110;4;6;125000
Yakkasaroy;2;61;2;9;53000
Mirobod;2;40;1;1;23500
Yakkasaroy;3;75;7;9;62000
Chilonzor;2;54;4;4;37500
Yunusobod;2;64;3;4;54962
Chilonzor;1;30;3;4;31000
Chilonzor;3;68;4;4;46500
Yunusobod;2;50;1;4;38000
Mirobod;2;44;6;9;60000
Mirzo Ulugbek;1;35;2;2;20600
Yakkasaroy;3;70;4;5;68500
Mirzo Ulugbek;1;46;1;5;33000
Mirzo Ulugbek;3;71;4;4;40200
Chilonzor;1;50;5;5;21500
Yakkasaroy;1;43;6;16;34000
Yunusobod;2;60;9;9;32000
Yunusobod;2;60;1;4;31999
Yunusobod;2;57;4;4;32000
Yunusobod;3;75;4;9;80000
Yunusobod;2;62;4;4;33000
Yakkasaroy;2;43;6;16;34000
Chilonzor;2;48;1;4;34000
Yunusobod;3;70;1;9;68000
Yunusobod;2;54;2;4;33000
Yunusobod;2;50;4;4;33500
Yunusobod;2;50;2;4;33500
Chilonzor;2;60;2;9;36000
Chilonzor;2;60;1;9;41500
Chilonzor;2;68;1;4;41000
Chilonzor;2;50;1;5;34500
Chilonzor;2;50;4;4;32500
Chilonzor;2;60;4;5;38000
Yunusobod;4;122;8;9;134000
Yakkasaroy;3;88;5;5;45500
Yakkasaroy;4;118;8;12;102711
Yunusobod;2;55;1;3;42500
Yunusobod;2;60;4;4;34000
Yakkasaroy;2;47;4;4;47500
Yunusobod;2;78;1;9;34000
Yakkasaroy;2;62;8;9;42000
Yunusobod;2;50;4;4;34000
Yunusobod;2;60;4;4;34000
Yunusobod;2;60;3;4;34500
Yunusobod;2;78;1;9;33998
Yunusobod;2;50;4;4;34000
Yunusobod;2;60;4;4;34000
Yashnobod;3;75;5;9;64700
Yunusobod;4;82;1;4;85500
Chilonzor;1;36;1;5;25500
Chilonzor;1;36;2;5;28500
Chilonzor;1;42;4;4;28000
Chilonzor;1;46;2;5;31500
Chilonzor;2;50;1;5;36000
Yakkasaroy;3;75;5;9;55000
Chilonzor;3;75;9;9;60000
Yunusobod;2;64;5;9;37000
Yakkasaroy;2;60;4;9;47000
Yunusobod;4;90;4;4;53000
Mirzo Ulugbek;4;86;3;5;50000
Mirzo Ulugbek;3;72;1;4;46000
Uchtepa;5;105;7;9;85000
Yakkasaroy;1;34;2;4;29000
Mirzo Ulugbek;1;28;1;4;21500
Chilonzor;2;47;4;4;35500
Chilonzor;2;42;1;4;39600
Chilonzor;3;110;2;8;160000
Mirobod;1;40;2;9;42000
Chilonzor;2;50;4;4;40500
Chilonzor;1;29;4;4;24500
Chilonzor;2;42;4;4;34000
Chilonzor;2;42;3;4;36999
Chilonzor;3;65;4;5;30000
Yunusobod;3;65;3;5;45000
Chilonzor;2;45;3;5;26000
Mirzo Ulugbek;4;90;3;4;133000
Mirzo Ulugbek;4;86;4;5;60000
Mirzo Ulugbek;2;40;4;4;34000
Chilonzor;1;35;2;4;20000
Olmzor;5;100;1;4;71000
Yakkasaroy;2;78;4;8;100000
Yakkasaroy;1;20;2;4;14500
Olmzor;2;40;3;4;27500
Shayhontohur;3;75;2;4;55000
Mirobod;3;90;7;9;92000
Mirzo Ulugbek;2;137;2;6;125000
Mirobod;4;152;4;9;140000
Mirobod;3;90;3;5;105000
Yakkasaroy;2;55;3;4;41000
Mirzo Ulugbek;3;90;2;9;51000
Chilonzor;2;48;3;4;43000
Mirzo Ulugbek;3;78;5;5;39000
Yakkasaroy;1;38;2;5;25600
Chilonzor;3;70;3;5;68000
Mirzo Ulugbek;2;50;1;4;30000
Chilonzor;2;55;4;4;39000
Chilonzor;4;90;5;9;50000
Chilonzor;1;37;1;4;25500
Mirzo Ulugbek;3;80;3;4;120000
Chilonzor;4;105;7;9;95000
Uchtepa;1;45;5;9;27000
Chilonzor;2;42;1;4;36800
Mirzo Ulugbek;2;40;1;3;26000
Chilonzor;1;29;2;4;24200
Uchtepa;3;72;5;5;45000
Mirzo Ulugbek;2;40;5;5;31500
Yunusobod;3;78;4;4;55000
Chilonzor;3;70;4;5;32000
Chilonzor;3;74;5;9;74000
Chilonzor;2;55;3;4;26000
Mirzo Ulugbek;2;60;6;9;34000
Yakkasaroy;1;33;2;4;22000
Mirzo Ulugbek;2;60;1;5;46000
Mirzo Ulugbek;2;58;2;9;42000
Chilonzor;3;68;2;4;61000
Chilonzor;3;67;2;4;47000
Mirzo Ulugbek;2;77;4;4;65000
Olmzor;2;50;2;4;30000
Yangihayot;2;57;3;7;35000
Mirzo Ulugbek;3;70;4;4;44998
Yunusobod;2;60;7;9;35000
Yunusobod;2;57;4;9;36000
Yunusobod;2;57;4;9;35999
Yunusobod;2;58;2;5;36500
Yunusobod;2;68;9;9;36500
Mirzo Ulugbek;3;70;5;5;47000
Mirzo Ulugbek;3;97;9;9;55290
Mirzo Ulugbek;2;67;9;9;38190
Mirzo Ulugbek;2;56;3;5;32000
Uchtepa;2;42;4;5;28500
Mirzo Ulugbek;2;60;8;9;40000
Yakkasaroy;2;86;6;8;75000
Chilonzor;1;30;2;4;20200
Chilonzor;2;51;2;4;23200
Shayhontohur;3;90;4;9;105000
Uchtepa;1;30;2;4;20200
Chilonzor;2;51;3;5;24200
Chilonzor;3;64;2;5;35200
Chilonzor;2;51;2;4;25200
Chilonzor;1;30;2;4;22200
Chilonzor;2;51;3;4;26200
Yunusobod;2;50;3;4;36500
Yashnobod;2;66;1;5;28000
Yunusobod;2;56;4;4;37000
Yunusobod;2;57;3;9;37000
Yashnobod;1;40;5;8;13700
Yunusobod;2;71;4;5;38000
Yunusobod;2;58;3;5;38000
Olmzor;4;125;1;3;80000
Mirobod;2;40;1;1;22500
Yakkasaroy;2;60;4;4;45500
Mirzo Ulugbek;4;92;4;5;52000
Yunusobod;2;54;1;4;38500
Mirzo Ulugbek;4;91;3;5;50000
Yashnobod;1;21;3;4;14700
Uchtepa;3;72;1;9;44300
Yunusobod;2;48;3;4;38999
Shayhontohur;3;104;3;9;60000
Yashnobod;2;65;6;9;53000
Yashnobod;2;65;5;5;64999
Mirzo Ulugbek;2;62;5;5;36500
Mirzo Ulugbek;2;50;5;5;35000
Olmzor;4;86;5;5;55000
Yunusobod;2;50;4;4;33500
Mirzo Ulugbek;2;56;2;4;37000
Yakkasaroy;4;180;8;8;235000
Mirzo Ulugbek;2;60;2;5;38200
Chilonzor;3;84;2;5;46000
Mirzo Ulugbek;2;62;4;4;38500
Yunusobod;2;56;4;5;39000
Yangihayot;4;96;9;9;34500
Yunusobod;2;63;2;5;39999
Uchtepa;5;109;7;9;65000
Mirzo Ulugbek;3;100;2;5;128000
Yunusobod;2;49;1;4;40000
Uchtepa;2;47;4;4;30500
Mirobod;3;90;6;9;87000
Yakkasaroy;4;95;4;4;79500
Chilonzor;4;100;7;9;65000
Yunusobod;2;50;1;4;41000
Uchtepa;3;80;3;5;60000
Yunusobod;3;82;4;4;42000
Uchtepa;2;52;5;5;30000
Yakkasaroy;2;55;2;4;65000
Uchtepa;4;80;5;5;62000
Chilonzor;3;57;1;4;44000
Chilonzor;2;50;6;8;38999
Uchtepa;2;59;9;9;27000
Yashnobod;2;60;1;6;30000
Mirzo Ulugbek;5;140;3;8;98000
Mirobod;4;164;3;7;120000
Mirzo Ulugbek;5;135;1;9;82000
Shayhontohur;3;75;8;9;49000
Mirzo Ulugbek;3;70;4;5;45000
Chilonzor;3;70;5;5;41000
Mirobod;2;52;2;4;50000
Mirzo Ulugbek;2;50;4;4;28700
Chilonzor;3;72;6;9;54000
Mirzo Ulugbek;2;60;6;6;34000
Yunusobod;2;60;3;4;41500
Yunusobod;2;60;3;4;41500
Chilonzor;3;73;4;12;60000
Mirobod;2;65;4;9;80000
Yunusobod;3;110;5;8;335000
Yakkasaroy;3;80;2;10;124999
Mirobod;3;120;2;7;164500
Olmzor;3;75;4;9;62000
Mirzo Ulugbek;2;60;4;4;34000
Chilonzor;3;72;5;9;43000
Mirzo Ulugbek;2;62;6;9;35500
Mirzo Ulugbek;3;91;3;5;51000
Chilonzor;3;72;4;4;43000
Mirzo Ulugbek;3;95;5;5;50000
Mirzo Ulugbek;2;43;4;4;28500
Mirzo Ulugbek;5;100;4;4;48000
Chilonzor;3;90;1;9;65000
Mirzo Ulugbek;2;45;1;4;36000
Chilonzor;2;58;5;9;43500
Mirzo Ulugbek;2;60;8;9;38000
Uchtepa;3;71;2;4;45000
Yakkasaroy;3;80;4;5;56000
Chilonzor;2;64;3;4;37500
Mirzo Ulugbek;2;43;1;4;30500
Yunusobod;2;50;4;4;33500
Mirzo Ulugbek;2;44;3;4;31000
Chilonzor;3;78;2;9;63000
Mirzo Ulugbek;2;55;5;5;35000
Yakkasaroy;1;39;2;5;26000
Chilonzor;3;70;3;4;46000
Mirzo Ulugbek;2;50;5;5;35000
Yakkasaroy;2;63;1;5;41500
Mirzo Ulugbek;2;42;2;5;33500
Chilonzor;2;58;6;9;28000
Yunusobod;2;50;2;5;30500
Yashnobod;3;39,11;2;2;31000
Chilonzor;4;96;3;9;56000
Mirobod;3;75;2;6;80000
Chilonzor;3;94;4;4;46000
Chilonzor;2;50;3;4;44200
Chilonzor;2;52;3;4;41500
Olmzor;3;80;1;4;80000
Mirzo Ulugbek;4;80;5;5;47000
Mirzo Ulugbek;4;95;5;5;46000
Chilonzor;3;65;3;4;47000
Chilonzor;4;105;4;9;90000
Chilonzor;5;157;7;9;140000
Mirzo Ulugbek;3;90;2;5;44000
Uchtepa;4;100;1;4;75000
Chilonzor;3;80;9;9;35000
Yakkasaroy;4;112;4;5;146500
Mirobod;4;165;2;4;210000
Chilonzor;2;64;4;9;40000
Uchtepa;3;80;10;12;40000
Uchtepa;2;56;4;4;31000
Yakkasaroy;3;93,22;5;8;98000
Uchtepa;4;100;7;9;54000
Mirzo Ulugbek;2;47;4;4;29996
Mirzo Ulugbek;2;60;3;5;31000
Shayhontohur;2;47;7;9;27000
Uchtepa;4;98;1;9;85000
Yunusobod;4;90;9;9;62000
Chilonzor;1;33;1;4;26800
Chilonzor;1;33;3;4;24700
Chilonzor;2;42;1;4;37500
Uchtepa;2;40;4;5;28000
Shayhontohur;1;41;4;6;23542
Mirzo Ulugbek;2;59;3;5;43000
Uchtepa;2;42;4;5;28500
Uchtepa;3;70;3;5;59000
Mirzo Ulugbek;2;60;6;9;34000
Yunusobod;2;58;5;9;42000
Yunusobod;2;62;1;4;42000
Yunusobod;2;60;4;4;42000
Yunusobod;2;60;5;9;42000
Yunusobod;2;54;2;4;42000
Yunusobod;2;50;2;4;43000
Yunusobod;2;62;4;9;44000
Mirzo Ulugbek;3;105;3;6;126000
Yunusobod;2;62;7;9;44000
Mirzo Ulugbek;3;86;5;6;103000
Yunusobod;2;60;3;5;44000
Uchtepa;4;109;5;9;55000
Yunusobod;3;78;4;4;55000
Uchtepa;3;90;5;9;85000
Mirzo Ulugbek;3;75;8;9;56000
Yunusobod;5;140;5;9;102000
Mirobod;4;96;7;9;86000
Sergeli;4;106;6;9;41000
Mirzo Ulugbek;4;110;7;16;82500
Yakkasaroy;1;30;2;4;21000
Shayhontohur;3;70;1;4;56000
Sergeli;3;80;2;5;45000
Mirzo Ulugbek;2;50;1;4;30000
Mirzo Ulugbek;3;80;5;5;39000
Uchtepa;4;80;3;5;52500
Mirzo Ulugbek;3;90;2;9;51000
Chilonzor;5;105;7;9;78500
Yunusobod;4;100;3;5;85000
Mirobod;4;100;9;9;70000
Shayhontohur;4;94;5;5;65000
Uchtepa;2;72;5;12;40000
Yakkasaroy;2;48;5;9;23000
Chilonzor;3;73;4;9;75000
Shayhontohur;3;75;10;12;50000
Mirobod;4;96;7;9;96000
Mirzo Ulugbek;2;59;4;5;38500
Olmzor;1;33;3;4;33500
Mirobod;2;60;2;9;60000
Mirzo Ulugbek;2;70;3;6;85000
Yunusobod;2;62;2;5;49000
Mirzo Ulugbek;4;214;2;8;380000
Mirzo Ulugbek;2;60;4;4;32000
Yunusobod;2;83;3;5;50000
Yunusobod;2;77;4;9;52000
Yunusobod;2;68;6;9;56000
Mirzo Ulugbek;2;60;3;5;30500
Mirzo Ulugbek;3;66;3;5;56000
Yunusobod;2;58;1;4;56000
Mirzo Ulugbek;3;70;5;5;46500
Yunusobod;2;58;1;5;58000
Mirzo Ulugbek;3;62;5;5;35000
Yunusobod;2;60;7;8;59500
Yunusobod;2;74;3;4;63000
Yunusobod;3;78;4;4;56000
Shayhontohur;1;28;2;2;21000
Yunusobod;1;44;2;5;59999
Yashnobod;3;93;4;7;46500
Uchtepa;3;70;4;5;55000
Mirobod;4;112;11;12;85500
Uchtepa;3;70;4;4;31800
Olmzor;3;70;5;5;34600
Mirobod;4;100;8;9;160000
Sergeli;4;100;1;9;76000
Olmzor;2;56;4;4;32500
Uchtepa;2;60;4;4;29900
Yunusobod;3;70;3;9;64000
Mirobod;3;112;4;5;80000
Mirzo Ulugbek;5;100;5;9;80000
Mirobod;5;235;6;8;395000
Yashnobod;2;58;2;4;37000
Chilonzor;2;52;4;4;32000
Yashnobod;2;62;9;9;34000
Mirzo Ulugbek;1;16;1;4;18000
